log_id,user_id,date,day_of_week,is_weekend,time_of_day,app_name,tab_or_content_name,category,content_type,time_watched_min,session_count,avg_session_length_min,device_type,opened_via_notification,app_switches_during_session,addiction_score,addictive_label,prev_day_same_app_usage_min,daily_total_screen_time_min,daily_quality_score,weekly_total_screen_time_min,user_profile,iso_week
90,U119,2026-06-01,Monday,False,Morning,Coursera,,Study,Video,40.1,2,20.1,Desktop,False,1,19.0,Non-addictive,,295.1,40.2,1315.6,balanced,23
91,U119,2026-06-01,Monday,False,Night,Free Fire,,Games,Game,64.9,1,64.9,Mobile,True,3,81.7,Addictive,,295.1,40.2,1315.6,balanced,23
92,U119,2026-06-01,Monday,False,Morning,Instagram,DM Chats,Social Media,Chat,46.9,3,15.6,Desktop,False,1,27.0,Non-addictive,,295.1,40.2,1315.6,balanced,23
93,U120,2026-06-01,Monday,False,Afternoon,Notion,,Productivity,Notes,6.4,1,6.4,Mobile,False,1,7.2,Non-addictive,,336.6,8.6,1008.8,balanced,23
94,U120,2026-06-01,Monday,False,Evening,TikTok,For You Feed,Entertainment,Video,160.5,1,160.5,Mobile,False,3,90.7,Addictive,,336.6,8.6,1008.8,balanced,23
95,U120,2026-06-01,Monday,False,Evening,Candy Crush,,Games,Game,147.3,5,29.5,Mobile,True,6,74.3,Addictive,,336.6,8.6,1008.8,balanced,23
96,U120,2026-06-01,Monday,False,Morning,Notion,,Productivity,Notes,22.4,1,22.4,Tablet,False,3,14.3,Non-addictive,6.4,336.6,8.6,1008.8,balanced,23
97,U121,2026-06-01,Monday,False,Night,WhatsApp,Family Group,Communication,Chat,4.5,2,2.2,Desktop,False,1,25.1,Non-addictive,,475.1,7.8,2010.3,heavy_addictive,23
98,U121,2026-06-01,Monday,False,Morning,Spotify,Chill Playlist,Entertainment,Audio,25.0,1,25.0,Tablet,False,2,38.7,Non-addictive,,475.1,7.8,2010.3,heavy_addictive,23
99,U121,2026-06-01,Monday,False,Night,Candy Crush,,Games,Game,26.9,5,5.4,Desktop,True,5,100.0,Addictive,,475.1,7.8,2010.3,heavy_addictive,23
100,U121,2026-06-01,Monday,False,Morning,Instagram,DM Chats,Social Media,Chat,7.7,2,3.9,Mobile,False,0,47.0,Non-addictive,,475.1,7.8,2010.3,heavy_addictive,23
101,U121,2026-06-01,Monday,False,Afternoon,PUBG Mobile,,Games,Game,63.1,3,21.0,Mobile,False,3,100.0,Addictive,,475.1,7.8,2010.3,heavy_addictive,23
102,U121,2026-06-01,Monday,False,Evening,PUBG Mobile,,Games,Game,103.5,3,34.5,Mobile,True,5,100.0,Addictive,63.1,475.1,7.8,2010.3,heavy_addictive,23
103,U121,2026-06-01,Monday,False,Night,Chrome,online-shopping,Shopping,Website,134.8,2,67.4,Mobile,True,3,90.6,Addictive,,475.1,7.8,2010.3,heavy_addictive,23
104,U121,2026-06-01,Monday,False,Afternoon,PUBG Mobile,,Games,Game,109.6,1,109.6,Mobile,True,5,100.0,Addictive,103.5,475.1,7.8,2010.3,heavy_addictive,23
105,U122,2026-06-01,Monday,False,Afternoon,Duolingo,,Skill-Development,App,9.2,1,9.2,Desktop,False,1,11.4,Non-addictive,,169.2,8.7,905.4,balanced,23
106,U122,2026-06-01,Monday,False,Morning,WhatsApp,Family Group,Communication,Chat,5.5,3,1.8,Desktop,True,2,2.7,Non-addictive,,169.2,8.7,905.4,balanced,23
107,U122,2026-06-01,Monday,False,Night,TikTok,For You Feed,Entertainment,Video,71.6,1,71.6,Desktop,False,3,82.1,Addictive,,169.2,8.7,905.4,balanced,23
108,U122,2026-06-01,Monday,False,Night,YouTube,Music Video Mix,Entertainment,Video,82.9,2,41.5,Desktop,False,3,52.7,Addictive,,169.2,8.7,905.4,balanced,23
109,U123,2026-06-01,Monday,False,Evening,YouTube,Study Lecture - Physics,Study,Video,30.0,1,30.0,Desktop,False,2,15.5,Non-addictive,,160.0,18.8,727.6,balanced,23
110,U123,2026-06-01,Monday,False,Evening,Chrome,pornweb,Pornographic,Website,49.5,5,9.9,Mobile,True,5,90.2,Addictive,,160.0,18.8,727.6,balanced,23
111,U123,2026-06-01,Monday,False,Evening,Chrome,pornweb,Pornographic,Website,80.5,3,26.8,Mobile,True,5,89.8,Addictive,49.5,160.0,18.8,727.6,balanced,23
112,U124,2026-06-01,Monday,False,Evening,PUBG Mobile,,Games,Game,48.4,2,24.2,Mobile,True,4,83.9,Addictive,,174.0,22.0,967.2,balanced,23
113,U124,2026-06-01,Monday,False,Afternoon,YouTube,Music Video Mix,Entertainment,Video,26.4,1,26.4,Mobile,False,4,57.8,Addictive,,174.0,22.0,967.2,balanced,23
114,U124,2026-06-01,Monday,False,Morning,Netflix,TV Series Binge,Entertainment,Video,60.9,3,20.3,Mobile,True,5,77.5,Addictive,,174.0,22.0,967.2,balanced,23
115,U124,2026-06-01,Monday,False,Morning,VSCode,,Skill-Development,Code,38.3,1,38.3,Mobile,False,1,10.5,Non-addictive,,174.0,22.0,967.2,balanced,23
116,U125,2026-06-01,Monday,False,Evening,Instagram,DM Chats,Social Media,Chat,12.5,3,4.2,Tablet,True,0,13.4,Non-addictive,,12.5,100.0,153.0,light_user,23
117,U126,2026-06-01,Monday,False,Evening,Chrome,online-shopping,Shopping,Website,69.5,4,17.4,Tablet,True,4,73.4,Addictive,,442.4,14.4,2862.6,heavy_addictive,23
118,U126,2026-06-01,Monday,False,Morning,WhatsApp,Family Group,Communication,Chat,8.6,3,2.9,Desktop,False,1,18.7,Non-addictive,,442.4,14.4,2862.6,heavy_addictive,23
119,U126,2026-06-01,Monday,False,Night,Instagram,Reels Feed,Social Media,Video,40.5,2,20.2,Mobile,True,3,100.0,Addictive,,442.4,14.4,2862.6,heavy_addictive,23
120,U126,2026-06-01,Monday,False,Evening,YouTube,Study Lecture - Physics,Study,Video,50.5,1,50.5,Mobile,False,0,31.3,Non-addictive,,442.4,14.4,2862.6,heavy_addictive,23
121,U126,2026-06-01,Monday,False,Evening,Netflix,TV Series Binge,Entertainment,Video,8.3,1,8.3,Desktop,True,6,100.0,Addictive,,442.4,14.4,2862.6,heavy_addictive,23
122,U126,2026-06-01,Monday,False,Afternoon,VSCode,,Skill-Development,Code,4.7,1,4.7,Mobile,False,1,25.1,Non-addictive,,442.4,14.4,2862.6,heavy_addictive,23
123,U126,2026-06-01,Monday,False,Night,PUBG Mobile,,Games,Game,90.6,2,45.3,Mobile,False,1,100.0,Addictive,,442.4,14.4,2862.6,heavy_addictive,23
124,U126,2026-06-01,Monday,False,Night,Instagram,DM Chats,Social Media,Chat,169.7,1,169.7,Mobile,False,4,53.1,Addictive,40.5,442.4,14.4,2862.6,heavy_addictive,23
125,U127,2026-06-01,Monday,False,Evening,Spotify,Chill Playlist,Entertainment,Audio,3.0,3,1.0,Desktop,False,2,24.1,Non-addictive,,130.8,20.2,1150.0,balanced,23
126,U127,2026-06-01,Monday,False,Morning,Netflix,Documentary,Self-Improvement,Video,8.2,2,4.1,Desktop,False,0,28.7,Non-addictive,,130.8,20.2,1150.0,balanced,23
127,U127,2026-06-01,Monday,False,Evening,Snapchat,Stories,Social Media,Video,104.4,2,52.2,Mobile,False,7,55.8,Addictive,,130.8,20.2,1150.0,balanced,23
128,U127,2026-06-01,Monday,False,Afternoon,WhatsApp,Family Group,Communication,Chat,15.2,3,5.1,Mobile,False,1,7.9,Non-addictive,,130.8,20.2,1150.0,balanced,23
129,U128,2026-06-01,Monday,False,Night,Snapchat,Stories,Social Media,Video,69.3,3,23.1,Desktop,False,3,66.1,Addictive,,201.1,9.8,1004.6,balanced,23
130,U128,2026-06-01,Monday,False,Morning,Spotify,Chill Playlist,Entertainment,Audio,19.7,1,19.7,Mobile,False,1,8.4,Non-addictive,,201.1,9.8,1004.6,balanced,23
131,U128,2026-06-01,Monday,False,Morning,Free Fire,,Games,Game,112.1,1,112.1,Desktop,False,3,80.8,Addictive,,201.1,9.8,1004.6,balanced,23
132,U129,2026-06-01,Monday,False,Evening,Candy Crush,,Games,Game,134.3,3,44.8,Mobile,False,2,100.0,Addictive,,706.7,3.4,2481.4,heavy_addictive,23
133,U129,2026-06-01,Monday,False,Evening,Instagram,Reels Feed,Social Media,Video,134.1,1,134.1,Desktop,False,2,100.0,Addictive,,706.7,3.4,2481.4,heavy_addictive,23
134,U129,2026-06-01,Monday,False,Evening,VSCode,,Skill-Development,Code,5.9,3,2.0,Mobile,False,0,15.9,Non-addictive,,706.7,3.4,2481.4,heavy_addictive,23
135,U129,2026-06-01,Monday,False,Afternoon,YouTube,Prank Compilation,Entertainment,Video,335.3,2,167.6,Desktop,True,6,100.0,Addictive,,706.7,3.4,2481.4,heavy_addictive,23
136,U129,2026-06-01,Monday,False,Afternoon,Notion,,Productivity,Notes,9.2,2,4.6,Desktop,False,0,13.3,Non-addictive,,706.7,3.4,2481.4,heavy_addictive,23
137,U129,2026-06-01,Monday,False,Afternoon,VSCode,,Skill-Development,Code,8.6,1,8.6,Desktop,False,1,19.8,Non-addictive,5.9,706.7,3.4,2481.4,heavy_addictive,23
138,U129,2026-06-01,Monday,False,Night,YouTube,Music Video Mix,Entertainment,Video,79.3,3,26.4,Desktop,False,4,86.6,Addictive,335.3,706.7,3.4,2481.4,heavy_addictive,23
139,U130,2026-06-01,Monday,False,Afternoon,Chrome,news-site,News,Website,7.9,1,7.9,Tablet,False,2,22.9,Non-addictive,,193.4,18.0,927.9,balanced,23
140,U130,2026-06-01,Monday,False,Afternoon,Snapchat,Stories,Social Media,Video,158.5,8,19.8,Desktop,True,1,62.6,Addictive,,193.4,18.0,927.9,balanced,23
141,U130,2026-06-01,Monday,False,Afternoon,YouTube,Yoga Tutorial,Self-Improvement,Video,27.0,2,13.5,Tablet,False,2,17.0,Non-addictive,,193.4,18.0,927.9,balanced,23
142,U131,2026-06-01,Monday,False,Evening,Instagram,DM Chats,Social Media,Chat,8.5,1,8.5,Desktop,False,1,45.4,Non-addictive,,212.8,37.5,2508.7,heavy_addictive,23
143,U131,2026-06-01,Monday,False,Evening,Netflix,TV Series Binge,Entertainment,Video,39.3,1,39.3,Mobile,False,5,100.0,Addictive,,212.8,37.5,2508.7,heavy_addictive,23
144,U131,2026-06-01,Monday,False,Night,Chrome,online-shopping,Shopping,Website,50.4,3,16.8,Desktop,False,1,91.1,Addictive,,212.8,37.5,2508.7,heavy_addictive,23
145,U131,2026-06-01,Monday,False,Afternoon,Coursera,,Study,Video,3.9,1,3.9,Desktop,True,1,9.8,Non-addictive,,212.8,37.5,2508.7,heavy_addictive,23
146,U131,2026-06-01,Monday,False,Afternoon,WhatsApp,Family Group,Communication,Chat,23.9,5,4.8,Desktop,False,1,27.7,Non-addictive,,212.8,37.5,2508.7,heavy_addictive,23
147,U131,2026-06-01,Monday,False,Evening,Netflix,Documentary,Self-Improvement,Video,19.0,1,19.0,Desktop,False,0,29.7,Non-addictive,39.3,212.8,37.5,2508.7,heavy_addictive,23
148,U131,2026-06-01,Monday,False,Evening,Duolingo,,Skill-Development,App,24.6,1,24.6,Mobile,False,1,19.1,Non-addictive,,212.8,37.5,2508.7,heavy_addictive,23
